時間日期,網址,名稱,上階層,下階層
2024/06/13,https://sites.google.com/view/swallow-c9420/%E5%80%89%E5%BA%AB/%E5%BD%AD%E6%A5%B7%E5%84%92,遺跡先遣隊－探險員,《冥亡伊甸》,《遺跡先遣隊》
2024/06/13,https://sites.google.com/view/swallow-c9420/%E5%80%89%E5%BA%AB/%E9%A2%A8%E8%88%87%E8%8D%89,故事章節－【風與草】,《冥亡伊甸》,《遺跡先遣隊》|散文
2023/07/18,https://sites.google.com/view/swallow-c9420/%E5%80%89%E5%BA%AB/%E5%A5%BD%E4%BA%BA,[小說]《青丘之燕》-好人,《冥亡伊甸》,《青丘之燕》|小說
2023/07/18,https://sites.google.com/view/swallow-c9420/%E5%80%89%E5%BA%AB/%E5%81%B7%E7%AB%8A,[小說]《青丘之燕》-偷竊,《冥亡伊甸》,《青丘之燕》|小說
2023/07/04,https://sites.google.com/view/swallow-c9420/%E5%80%89%E5%BA%AB/%E8%9A%8A%E5%AD%90,[散文]蚊子,《冥亡伊甸》,【休閒日常】|散文
2023/07/04,https://sites.google.com/view/swallow-c9420/%E5%80%89%E5%BA%AB/%E6%BC%AB%E7%95%AB%E6%95%A3%E6%96%87-2021_11_19,[漫畫]散文-2021_11_19,《冥亡伊甸》,【休閒日常】|漫畫
2023/02/12,https://www.pixiv.net/artworks/105481259,塗鴉紓壓 2023/02/12,《冥亡伊甸》,【休閒日常】|塗鴉|【二次創作】
2023/01/26,https://www.pixiv.net/artworks/104814106,塗鴉紓壓2022-05-09 - 2023-01-26,《冥亡伊甸》,【休閒日常】|塗鴉|【二次創作】
2022/07/08,https://www.pixiv.net/artworks/99588327,臨摹,《冥亡伊甸》,【休閒日常】|塗鴉|【二次創作】
2022/03/27,https://www.pixiv.net/artworks/97208530,[漫畫]散文-2021_11_19,《冥亡伊甸》,【休閒日常】|塗鴉|漫畫
2022/02/09,https://youtu.be/ueVUX7CzdWE?si=T19YGoVY8KOcOQz_,阿福快打20220209-影片剪接練習,《冥亡伊甸》,【休閒日常】|遊戲|攝影|剪輯
2022/01/16,https://sites.google.com/view/swallow-c9420/%E5%80%89%E5%BA%AB/%E5%88%9D%E5%A7%8B,[圖文]《虛擬人生》-初始,《冥亡伊甸》,《虛擬人生》|圖文|動畫|3D建模
2021/12/24,https://www.pixiv.net/artworks/94986271,本人繪型,《冥亡伊甸》,【休閒日常】|塗鴉
2021/11/19,https://sites.google.com/view/swallow-c9420/%E5%80%89%E5%BA%AB/%E6%95%A3%E6%96%87-2021_11_19,[散文]散文-2021_11_20,《冥亡伊甸》,【休閒日常】|散文
2021/10/31,https://www.pixiv.net/artworks/93812943,概念測試2021_10_31,《冥亡伊甸》,【休閒日常】|塗鴉|【二次創作】
2021/10/30,https://www.pixiv.net/artworks/97770075,2021_10_30,《冥亡伊甸》,【休閒日常】|塗鴉|【二次創作】
2021/10/27,https://www.pixiv.net/artworks/93719518,2021_10_27,《冥亡伊甸》,【休閒日常】|塗鴉|【二次創作】
2021/10/15,https://www.pixiv.net/artworks/93463135,2021_10_15,《冥亡伊甸》,【休閒日常】|塗鴉|【二次創作】
2021/10/08,https://www.pixiv.net/artworks/93311254,概念測試2021/10/08,《冥亡伊甸》,【休閒日常】|塗鴉|【二次創作】
2021/10/01,https://www.pixiv.net/artworks/93142338,概念測試2021/10/01,《冥亡伊甸》,【休閒日常】|塗鴉|【二次創作】
2021/09/24,https://www.pixiv.net/artworks/92972707,概念測試2021/09/24,《冥亡伊甸》,【休閒日常】|塗鴉
2021/09/17,https://www.pixiv.net/artworks/92809924,2021年9月17日 18:29,《冥亡伊甸》,【休閒日常】|塗鴉|【二次創作】
