時間日期流水號,網址,標題內容段落,公眾人物人名|各部門主管機關|專案整理計畫,標籤元素|Ⅰ社會貢獻|Ⅰ建議方法|Ⅰ發現問題|Ⅱ未能處理|Ⅱ詢問回應|Ⅱ宣揚口號|Ⅱ政見發表|Ⅲ負面方法|Ⅲ負面行為|Ⅳ破壞民主|承諾|拖延|
2021/12/16,https://www.youtube.com/watch?v=TafxTz1_7rs,一起支持大步向前的台灣,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅱ宣揚口號
2022/03/30,https://www.youtube.com/watch?v=nK0kh3Gd0tk,太魯閣列車事故 乘客及救災人員訪談（專題 PODCAST）,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅱ詢問回應
2023/01/02,https://www.youtube.com/watch?v=PA_0-mCTyC4,你的選票就是改變的關鍵 怡農想對你說－政見篇,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅱ宣揚口號
2022/11/14,https://www.youtube.com/watch?v=W73DeKF6Wgg,「18歲公民權」修憲案,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅱ宣揚口號
2023/01/03,https://www.youtube.com/watch?v=jK7al12F8Qc,你就是改變的關鍵 怡農想對你說,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅱ宣揚口號
2023/01/02,https://www.youtube.com/watch?v=8wwFzOtR5eo,你的選票就是改變的關鍵 怡農想對你說－回家篇,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅱ宣揚口號
2023/01/05,https://www.youtube.com/watch?v=yUplj6OvxMU,讓國際看見台灣的決心與能力,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅱ宣揚口號
2025/09/03,https://www.youtube.com/watch?v=CsfjVzdCZ2I,多國啟動社群與校園手機禁令，如何保護兒少身心健康？ — ft. 陳培瑜｜【農好好說】EP1,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅱ詢問回應|陳培瑜-Ⅱ詢問回應
2025/10/01,https://www.youtube.com/watch?v=EClZuYQYQNQ,托育不到位，帶來階層、性別、競爭力問題 — ft. 劉毓秀｜【農好好說】EP3,1980年12月31日吳怡農,劉毓秀-Ⅰ發現問題+1|1980年12月31日吳怡農-Ⅱ詢問回應
2025/10/15,https://www.youtube.com/watch?v=9NqAL3jpPjE,花蓮的災後復原：現場的筆記、民防的下一步 — ft. 林立青｜【農好好說】EP4,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅰ發現問題+1|林立青-Ⅰ發現問題+1|林立青-Ⅰ建議方法+1
2025/10/29,https://www.youtube.com/watch?v=N7kesv8WJbw,共產黨下的中國公民，還有思想自由嗎？— ft. Ian Johnson｜【農好好說】EP5,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅱ詢問回應
2025/11/12,https://www.youtube.com/watch?v=xkz9NTvD6ac,台灣的國防課：改革軍隊文化 — ft. Michael Hunzeker｜【農好好說】EP6,1980年12月31日吳怡農,Michael Hunzeker-Ⅰ建議方法+3|1980年12月31日吳怡農-Ⅱ詢問回應
2025/11/26,https://www.youtube.com/watch?v=zJpsx0L8YHE,台灣救災的隱憂，災難醫療準備好了嗎？— ft. 蕭雅文｜【農好好說】EP7,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅱ詢問回應|蕭雅文-Ⅰ建議方法+3
2025/12/10,https://www.youtube.com/watch?v=Zu0KL2qdYtM,走進精神科的青少年，他們的求救訊號— ft. 劉黛玲｜【農好好說】EP8,1980年12月31日吳怡農,1980年12月31日吳怡農-Ⅱ詢問回應|劉黛玲-Ⅰ發現問題+1
2025/12/25,https://www.youtube.com/watch?v=29-aPNk3d-0,新世代改革政治的選舉策略— ft.Pita Limjaroenrat ｜【農好好說】EP9,1980年12月31日吳怡農,選舉|政治|Pita Limjaroenrat-Ⅰ發現問題+1|1980年12月31日吳怡農-Ⅱ詢問回應|
2026/01/08,https://www.youtube.com/watch?v=quo82M96pUk,在澳洲學急救，回台灣守護救護員安全 — ft.張育通｜【農好好說】EP10,1980年12月31日吳怡農,醫療急救|排班制度|1980年12月31日吳怡農-Ⅱ詢問回應|張育通-Ⅰ發現問題+1|張育通-Ⅰ建議方法+1


