時間日期,網址,標題,☯  上階層,[下階層],時間戳記
2025/07/26,https://www.youtube.com/watch?v=SQFWI7rwPC8,【20250713】監票講座|精華篇|精簡75%|濃縮再濃縮|提煉再提煉|大罷免|,"社會學, 台灣民眾黨專區",小草,2025/7/13 下午 5:14:06
2025/07/26,https://www.youtube.com/post/UgkxoRoTtP_dsT669oZUOzhotnDw_4BblomL,7/26出門投下，不同意罷免！反惡霸！,"社會學, 台灣民眾黨專區",小草,2025/7/13 下午 7:13:27
2025/07/26,https://flash.justice-tw.org/anti-recall/,民眾之窗 · 2025🚫反惡罷 2025年7月26日反制惡意罷免,"社會學, 台灣民眾黨專區",小草,2025/7/15 上午 3:31:57
2025/07/26,https://www.cec.gov.tw/central,國家通訊傳播委員會-出門投票反惡霸。,社會學,,2025/7/13 下午 5:31:30
2025/07/20,https://www.tpp.org.tw/newsdetail/4080,🔊𝟳𝟮𝟬民主起義 反罷要贏 台灣要贏 ｜𝟳/𝟮𝟬(日) 𝟭𝟲：𝟬𝟬 - 𝟭𝟴：𝟬𝟬（15:30開始暖場） ｜民進黨中央黨部前（台北市中正區北平東路） ｜用行動向民進黨發動的大罷免說不,"社會學, 台灣民眾黨專區","官方, 活動",2025/7/17 下午 7:49:07
2025/07/19,https://www.youtube.com/watch?v=OZHQ5UM2u-k,黃國昌突舉起柯P旗幟說了這段話太感人！#黃國昌 #館長 #柯文哲,社會學,,2025/7/20 上午 12:44:53
2025/07/19,https://www.youtube.com/shorts/2yABar7xUyg,藍白封殺黑熊法案？事實為何？ #政治 #大罷免 #反惡罷 小草 #青鳥 #時事 #民進黨 #沈伯洋 #黑熊學院 #藍白賣台 #vtuber #台灣Vtuber,社會學,社會學,2025/7/20 上午 8:53:27
2025/07/17,https://www.youtube.com/watch?v=VDvEpB4WfRA,這個影片就談一下罷免說明會吧 聽聽阿些領銜人都用什麼理由要來去罷免人民選出來的代議士? | #傅崐萁 #洪孟凱 #高虹安 #20250717,社會學,,2025/7/17 下午 7:26:48
2025/07/15,https://www.youtube.com/watch?v=ItLeZFS8vwM,柯文哲 7/15法庭發言｜押我一個就好了 何必傷害這麼多無關的人？,"社會學, 台灣民眾黨專區, 系列主題","官方, 個人, 柯文哲-先行者",2025/7/16 上午 6:21:26
2025/07/15,https://youtu.be/QD6Kv2de43s?si=3emIiGNai9KXCm48,洛狗： 我看了青鳥製作的 罷免終極懶人包！？滿滿的假訊息，一口氣打臉（分享出去）,社會學,,2025/7/15 上午 6:24:11
2025/07/13,https://www.youtube.com/watch?v=zJuUtzF8lFw,【POE劇情】伊貢是誰?札娜想幹嘛?輿圖之奧祕劇情解析丨Who is Eagon? What is Zana doing? Secrets of the Atlas lore,poe流亡暗道,,2025/7/13 上午 6:46:05
2025/07/13,https://www.youtube.com/watch?v=XPP-Vq9HLKg,三立，民視，不希望你看見的事？,社會學,,2025/7/13 上午 6:58:22
2025/07/11,https://youtu.be/ueKJDuD5Pfo?si=2IiNfXIFtwr3Bucd,大罷免與「滅共」有關? 拆解青鳥話術影片 #民進黨 #大罷免 #黃國昌 #賴清德 #國民黨,社會學,,2025/7/15 上午 6:39:12
2025/07/11,https://www.youtube.com/watch?v=-O40q7U4zEs,第一位，讓你能把青鳥「具象化」的路人。,社會學,,2025/7/12 下午 12:46:31
2025/07/11,https://www.youtube.com/watch?v=x3S5lSrtFnU,街頭真實對話！被騎士說「不要吵」，另一個還比倒讚｜726反罷免街講現場,"社會學, 台灣民眾黨專區",小草,2025/7/12 下午 5:03:43
2025/07/10,https://www.youtube.com/watch?v=bVdc3vSu4Zs,[民眾黨奪魂曲] 第四集：世界看好了 ! 台灣示範司法迫害人權極致，無限羈押政敵，無限放跑重刑犯，柯文哲已無罪羈押10個月,社會學,,2025/7/12 下午 4:43:50
2025/07/10,https://www.youtube.com/watch?v=dg6qSChMZn4,【20250710】綠營謠言大翻車|檢方放棄3位證人，包括妙天橘子‪@DearNaNa1313‬ #柯文哲 #京華城 #民眾黨,"社會學, 台灣民眾黨專區",小草,2025/7/13 上午 7:09:29
2025/07/08,https://www.youtube.com/watch?v=K1UESAkNuJI,沒動力出門投票？我給你。,社會學,,2025/7/9 下午 7:28:04
2025/07/08,https://www.youtube.com/watch?v=eJ9h9Tfgk3g,這個影片來彌補一下少了賴清德的第五講的空虛 那來聽聽曹興誠它們講了什麼? | 在野黨不應該監督執政黨 | 誰來監督在野黨? | 台灣是台灣人的台灣 | #曹興誠 #翁達瑞 #民進黨 #20250708,社會學,,2025/7/8 下午 8:35:42
2025/07/07,https://www.youtube.com/watch?v=U0VU0thj1-0,當柯妻喊說 該跳樓的是她.....心都寒了 SUPER NEWGO,社會學,,2025/7/9 下午 7:17:13
2025/07/06,https://www.youtube.com/watch?v=wUUwZyJUw0g,表象不值得討論，該討論的事背後的本質~SUPER NEWGO,社會學,,2025/7/6 上午 8:51:41
2025/07/05,https://www.youtube.com/watch?v=JEqYj-mg4Hc,【館長精華】九年後，他終於想起要給軍人加福利了！,"社會學, 系列主題",陳之漢-義士,2025/7/6 下午 12:46:26
2025/07/05,https://www.youtube.com/watch?v=U10JsnXeCvE,DearNaNa-高雄明天停班停課,"社會學, 台灣民眾黨專區",小草,2025/7/6 上午 10:51:03
2025/07/04,https://www.youtube.com/watch?v=S1ceWT2qxrc,[民眾黨奪魂曲] 第三集：彭振聲&柯文哲京華城案完美解析，北檢、馬檢、監察院做了什麼事?,"社會學, 台灣民眾黨專區",小草,2025/7/6 上午 8:19:57
2025/07/02,https://www.youtube.com/watch?v=SIwVcjg-7qI,洛狗：為什麼要漲電價？一部片告訴你：台灣的能源政策問題出在哪？,社會學,,2025/7/2 下午 9:57:03
2025/07/02,https://www.youtube.com/watch?v=LT8TmQgOmgo,彭振聲妻子過世，綠網軍光速甩鍋 #民進黨 #大罷免 #柯文哲 #賴清德 #彭振聲,社會學,,2025/7/2 下午 9:29:20
2025/07/01,https://www.youtube.com/shorts/SjQ_wjCt0N0,【要聞】彭振聲庭外哭喊「我是無辜的」,社會學,,2025/7/3 上午 6:26:26
2025/07/01,https://www.youtube.com/watch?v=Dv_4xdq3gHA,柯文哲 7/1法庭發言｜司法改革不能紙上談兵 對民主的維護也不是在家看電視,"社會學, 系列主題, 台灣民眾黨專區",柯文哲-先行者,2025/7/6 上午 8:32:53
2025/07/01,https://www.youtube.com/watch?v=T5lH74y9VmA,賴清德翻車三講，代表什麼？/館長化身「祖國人」的深意？,社會學,,2025/7/2 下午 9:47:20
2025/06/29,https://www.youtube.com/watch?v=1eftTd4V0PU,這個影片就來聊一下賴清德的國家團結十講中的第三講 憲政體制 | 國會改革 | 財劃法 | 總統立法院報告 | 潛藏珍貴力量?青鳥之力?大罷免之力? | #賴清德 #憲政體制 #20250629,"時事輿論, 社會學",,2025/7/1 上午 6:31:57
2025/06/28,https://www.youtube.com/watch?v=nUOsPe4LYg4,[罷芯四部曲] 終章：罷芯發言人小令，真實身分竟是台灣政府高層，中共以總統級規格針對,"時事輿論, 社會學",,2025/6/28 下午 2:16:59
2025/06/27,https://www.youtube.com/watch?v=1uMT5YYOLzo,法庭直播來了黃國昌竟這樣說！柯建銘急了胡說八道！讓陽光照進法庭把真相還給社會！#黃國昌 #韓國瑜 #柯建銘 #柯建铭,"時事輿論, 社會學",,2025/6/27 下午 7:32:57
2025/06/27,https://www.youtube.com/watch?v=3RF0ZDR8vsM,淺談感情這回事 SUPER NEWGO,"休閒牧場, 人生哲學, 戀愛研究院",,2025/6/27 下午 8:08:56
2025/06/26,https://www.youtube.com/watch?v=4VEyDRS6qZM,@2chill 最雖小的一代?,"休閒牧場, 社會學, AI相關",,2025/6/26 下午 4:57:36
2025/06/26,https://www.youtube.com/watch?v=1yOADjMyYQM,🔴 Live【誰來Talk館】第一百三十三集 | 法西斯再起、提槍上戰場 | 我是說在野的各位都是雜質 | feat. 吳宗憲 ‪@jameswu_not_jacky,"時事輿論, 社會學, 系列主題",陳之漢-義士,2025/6/28 下午 12:48:09
2025/06/26,https://www.youtube.com/watch?v=cn4tP4rAkjA,7/26讓我們證明：我雜質、我驕傲！每週四中午十二點 LIVE【謝寒冰｜新聞秘辛】2025.06.26 ‪@funseeTW‬ ‪@謝寒冰-p7i‬,"時事輿論, 社會學",,2025/6/26 下午 1:28:11
2025/06/26,https://www.youtube.com/watch?v=iq6oKmEOSGE,從陳文茜案例看西醫要害在哪裡？藥廠利益怎麼來？如何挑選中醫自保？,醫學,,2025/6/28 下午 6:35:38
2025/06/25,https://www.youtube.com/watch?v=tOCQDPRA0Q8,114年6月25日 我們不只等你 是要帶你回家 土城看守所 第114+174天 #柯文哲 #土城看守所 #心存善念盡力而為 #押人取供 #反惡罷 #司法迫害 #政治辦案 #京華城弊案 #放志樂團,"時事輿論, 社會學, 台灣民眾黨專區",小草,2025/6/25 下午 11:03:51
2025/06/25,https://www.youtube.com/watch?v=6b_OLb-Wq2Q,直接買200多億，自己造500多億，台灣海峽平均深度60公尺很難躲喔。 SUPER NEWGO,"社會學, 科技, 軍武",,2025/6/25 下午 12:16:02
2025/06/25,https://www.youtube.com/watch?v=6jhUuetACLA,青鳥悲憤「回台機票慘遭小草退單」，結局大翻轉 #民進黨 #賴清德 #黃國昌 #柯文哲 #國民黨,社會學,,2025/6/25 上午 11:38:21
